album,streams_millions,delta_deaths
Taylor Swift - Midnights,184.6,-1.755329197537236
Drake - Certified Lover Boy,153.4,10.95553885922996
Bad Bunny - Un Verano Sin Ti,145.8,6.023059322100522
Drake - Scorpion,132.3,16.39010891657
Kendrick Lamar - Mr. Morale & The Big,100.0,20.023059322100522
Kanye West - Donda,95.0,4.624439537417231
Taylor Swift - Red (Taylor's Versio,91.0,26.832948706484075
Taylor Swift - Folklore,80.0,20.853521408253712
Harry Styles - Harry's House,76.0,6.023059322100522
Drake & 21 Savage - Her Loss,75.0,57.187917023674856
Travis Scott - ASTROWORLD,72.0,1.5356404016315395
Post Malone - beerbongs & bentleys,70.0,6.695355868220943
Post Malone - Hollywood's Bleeding,65.0,-13.15033387391054
Billie Eilish - Happier Than Ever,60.0,37.74293840540497
Juice WRLD - Legends Never Die,58.0,-2.1464785917462876
"Ariana Grande - thank u, next",56.0,-5.026460744141616
Olivia Rodrigo - SOUR,55.0,25.77942831993144
The Weeknd - After Hours,53.0,-0.2648093195499257
Ed Sheeran - = (Equals),51.0,50.00103980029368
Ariana Grande - Positions,50.0,33.11162280314241
